experiment,N,NB,P,Q,np,omp_threads,openblas_threads,time_s,gflops,status
baseline,18432,128,2,2,4,1,1,57.87,72.149,PASSED
nb_sweep_128,18432,128,2,2,4,1,1,62.61,66.684,PASSED
nb_sweep_192,18432,192,2,2,4,1,1,62.08,67.255,PASSED
nb_sweep_256,18432,256,2,2,4,1,1,67.21,62.119,PASSED
nb192_confirm,18432,192,2,2,4,1,1,57.50,72.610,PASSED
nb128_confirm,18432,128,2,2,4,1,1,59.30,70.404,PASSED
grid_1x4,18432,192,1,4,4,1,1,60.01,69.575,PASSED
n_sweep_15360,15360,192,2,2,4,1,1,35.32,68.417,PASSED
n_sweep_23040,23040,192,2,2,4,1,1,110.42,73.850,PASSED
